filiere,etablissement,specialite,code,type_bac,formule_score,score_dernier,_page
97.88,85,FG+AR,ﺏﺍﺩﺁ,10101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻋﺎﻤﺘﺟﻹﺍﻭ ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍ ﺔﻴﻠﻛ (ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
130.94,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
73.88,14,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
98.19,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
95.24,95,FG+AR,ﺏﺍﺩﺁ,11101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺕﺎﻴﻧﺎﺴﻧﻹﺍﻭ ﻥﻮﻨﻔﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺑﻮﻨﻣ ﺔﻌﻣﺎﺟ)ﺔﺑﻮﻨﻤﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
124.84,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
80.2,16,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
107.01,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
98.5,50,FG+AR,ﺏﺍﺩﺁ,12101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺭﺎﻨﻤﻟﺍ ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
124.03,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
96.76,8,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
104.07,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
92.61,92,FG+AR,ﺏﺍﺩﺁ,13101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
119.77,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
93.66,17,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
93.16,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
99.94,30,FG+AR,ﺏﺍﺩﺁ,22101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﻞﺑﺎﻨﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
109.6,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
88.45,5,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
107.03,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
100.24,95,FG+AR,ﺏﺍﺩﺁ,30101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺳﻮﺳ ﺔﻌﻣﺎﺟ)ﺔﺳﻮﺴﺑ,1
108.29,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
101.94,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,30101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺳﻮﺳ ﺔﻌﻣﺎﺟ)ﺔﺳﻮﺴﺑ,2
78.85,20,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
134.28,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
92.44,83,FG+AR,ﺏﺍﺩﺁ,40101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺲﻗﺎﻔﺻ ﺔﻌﻣﺎﺟ)ﺲﻗﺎﻔﺼﺑ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
120.01,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
81.71,12,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
96.3,45,FG+AR,ﺏﺍﺩﺁ,50101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﺑﺎﻘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
118.37,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
81.94,8,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
90.84,50,FG+AR,ﺏﺍﺩﺁ,54101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ ﺔﻌﻣﺎﺟ)ﻦﻴﻧﺪﻤﺑ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
110.01,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
95.77,8,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
89.11,90,FG+AR,ﺏﺍﺩﺁ,60101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﻲﻓ ﺔﻴﻘﻴﺒﻄﺘﻟﺍ ﺕﺎﺳﺍﺭﺪﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺔﺼﻔﻗ ﺔﻌﻣﺎﺟ)ﺔﺼﻔﻘﺑ ﺕﺎﻴﻧﺎﺴﻧﻻﺍ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
109.71,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
85.87,17,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
80.68,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
84.58,90,FG+AR,ﺏﺍﺩﺁ,70101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﻥﺍﻭﺮﻴﻘﻟﺍ ﺔﻌﻣﺎﺟ)ﻥﺍﻭﺮﻴﻘﻟﺎﺑ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
89.55,3,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
75.11,50,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,5,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,70101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﻥﺍﻭﺮﻴﻘﻟﺍ ﺔﻌﻣﺎﺟ)ﻥﺍﻭﺮﻴﻘﻟﺎﺑ,3
115.43,143,FG+ANG,ﺏﺍﺩﺁ,10102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻋﺎﻤﺘﺟﻹﺍﻭ ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍ ﺔﻴﻠﻛ (ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,3
110.4,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,3
151.82,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,3
107.59,45,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,3
122.97,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,3
115.94,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,3
143.52,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,3
113.24,143,FG+ANG,ﺏﺍﺩﺁ,11102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺕﺎﻴﻧﺎﺴﻧﻹﺍﻭ ﻥﻮﻨﻔﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺑﻮﻨﻣ ﺔﻌﻣﺎﺟ)ﺔﺑﻮﻨﻤﺑ,3
109.73,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,3
132.98,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,3
94.35,45,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,3
131.95,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,3
121.94,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,3
168.93,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,3
130.9,60,FG+ANG,ﺏﺍﺩﺁ,12102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ- ﺔﻴﻟﻭﺪﻟﺍ ﺕﺎﻗﻼﻌﻟﺍﻭ ﺔﻳﺰﻴﻠﻘﻧﻷﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺭﺎﻨﻤﻟﺍ ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,3
150.79,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,3
148.41,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,3
119.32,29,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,3
124.24,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,3
120.99,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,3
166.9,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,3
115.35,143,FG+ANG,ﺏﺍﺩﺁ,13102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,3
151.9,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,3
143.6,2,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,3
111.96,56,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,3
164.58,2,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,13102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,4
122.41,2,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,4
139.28,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,4
108.91,90,FG+ANG,ﺏﺍﺩﺁ,22102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﻞﺑﺎﻨﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,4
121.33,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,4
133,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,4
94.3,36,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,4
124.19,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,4
136.36,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,4
157.49,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,4
113.52,179,FG+ANG,ﺏﺍﺩﺁ,30102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺳﻮﺳ ﺔﻌﻣﺎﺟ)ﺔﺳﻮﺴﺑ,4
117.85,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,4
144.79,2,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,4
91.43,68,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,4
129.65,2,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,4
126.62,2,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,4
144.28,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,4
106.42,107,FG+ANG,ﺏﺍﺩﺁ,34102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﻦﻴﻨﻜﻤﻟﺎﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺮﻴﺘﺴﻨﻤﻟﺍ,4
-,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,4
123.59,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,4
87.68,33,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,4
130.34,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,4
114.23,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,4
164.8,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,4
100.84,179,FG+ANG,ﺏﺍﺩﺁ,40102,ﻝﺎﻤﻋﻷﺍ ﺔﻳﺰﻴﻠﻘﻧﺇ- ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ- ﺔﻤﺟﺮﺗ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺲﻗﺎﻔﺻ ﺔﻌﻣﺎﺟ)ﺲﻗﺎﻔﺼﺑ,4
141.33,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,4
138.06,2,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,4
70.28,56,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,40102,ﻝﺎﻤﻋﻷﺍ ﺔﻳﺰﻴﻠﻘﻧﺇ- ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ- ﺔﻤﺟﺮﺗ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺲﻗﺎﻔﺻ ﺔﻌﻣﺎﺟ)ﺲﻗﺎﻔﺼﺑ,5
117.65,2,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,5
92.26,2,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,5
117.42,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,5
97.99,72,FG+ANG,ﺏﺍﺩﺁ,50102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﺑﺎﻘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ,5
123.34,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,5
144.49,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,5
88.09,27,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,5
129.45,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,5
120.12,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,5
157.88,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,5
77.86,60,FG+ANG,ﺏﺍﺩﺁ,54102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ ﺔﻌﻣﺎﺟ)ﻦﻴﻧﺪﻤﺑ,5
-,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,5
129.31,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,5
83.47,23,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,5
110.6,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,5
-,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,5
-,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,5
76.64,110,FG+ANG,ﺏﺍﺩﺁ,60102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﻲﻓ ﺔﻴﻘﻴﺒﻄﺘﻟﺍ ﺕﺎﺳﺍﺭﺪﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺔﺼﻔﻗ ﺔﻌﻣﺎﺟ)ﺔﺼﻔﻘﺑ ﺕﺎﻴﻧﺎﺴﻧﻻﺍ,5
-,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,5
124.29,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,5
82.02,33,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,5
-,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,5
-,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,5
165.35,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,5
71.78,220,FG+ANG,ﺏﺍﺩﺁ,70102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﻥﺍﻭﺮﻴﻘﻟﺍ ﺔﻌﻣﺎﺟ)ﻥﺍﻭﺮﻴﻘﻟﺎﺑ,5
-,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,5
120.35,2,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,70102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﻥﺍﻭﺮﻴﻘﻟﺍ ﺔﻌﻣﺎﺟ)ﻥﺍﻭﺮﻴﻘﻟﺎﺑ,6
75.61,56,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,6
106.29,2,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,6
88.96,3,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,6
148.22,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,6
74.14,64,FG+ANG,ﺏﺍﺩﺁ,73102,ﻝﺎﻤﻋﻷﺍ ﺔﻳﺰﻴﻠﻘﻧﺇ-,ﻲﻓ ﺔﻴﻘﻴﺒﻄﺘﻟﺍ ﺕﺎﺳﺍﺭﺪﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﻥﺍﻭﺮﻴﻘﻟﺍ ﺔﻌﻣﺎﺟ)ﺔﻠﻄﻴﺒﺴﺑ ﺕﺎﻴﻧﺎﺴﻧﻻﺍ,6
108.57,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,6
134.32,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,6
80.62,27,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,6
109.16,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,6
119.9,1,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,6
-,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,6
85.17,70,FG+ANG,ﺏﺍﺩﺁ,80102,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺔﺑﻭﺪﻨﺟ ﺔﻌﻣﺎﺟ)ﺔﺑﻭﺪﻨﺠﺑ,6
114.42,1,FG+ANG,ﺕﺎﻴﺿﺎﻳﺭ,,,,6
126.22,1,FG+ANG,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,6
74.04,33,FG+ANG,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,6
109.65,1,FG+ANG,ﺔﻴﻨﻘﺘﻟﺍ ﻡﻮﻠﻌﻟﺍ,,,,6
134.89,2,FG+ANG,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,6
-,1,FG+ANG,ﺔﺿﺎﻳﺭ,,,,6
